127.0.0.1 - - [31/Jan/2013:10:18:38 +0100] "GET /~fdelorme/ HTTP/1.1" 200 316
127.0.0.1 - - [31/Jan/2013:10:18:59 +0100] "GET / HTTP/1.1" 403 202
127.0.0.1 - - [31/Jan/2013:10:18:59 +0100] "GET /favicon.ico HTTP/1.1" 403 213
127.0.0.1 - - [31/Jan/2013:10:28:29 +0100] "GET / HTTP/1.1" 403 202
127.0.0.1 - - [31/Jan/2013:10:28:30 +0100] "GET /favicon.ico HTTP/1.1" 403 213
127.0.0.1 - - [31/Jan/2013:10:28:36 +0100] "GET /index.html HTTP/1.1" 403 212
127.0.0.1 - - [31/Jan/2013:10:28:36 +0100] "GET /favicon.ico HTTP/1.1" 403 213
127.0.0.1 - - [31/Jan/2013:10:32:48 +0100] "GET /index.html HTTP/1.1" 200 1243
127.0.0.1 - - [31/Jan/2013:10:32:48 +0100] "GET /css/screen.css HTTP/1.1" 200 38
127.0.0.1 - - [31/Jan/2013:10:32:49 +0100] "GET /js/controllers.js HTTP/1.1" 200 406
127.0.0.1 - - [31/Jan/2013:10:32:49 +0100] "GET /css/bootstrap.min.css HTTP/1.1" 200 103314
127.0.0.1 - - [31/Jan/2013:10:32:49 +0100] "GET /js/bootstrap.min.js HTTP/1.1" 200 31596
127.0.0.1 - - [31/Jan/2013:10:32:49 +0100] "GET /js/bootstrap-modal.js HTTP/1.1" 200 6579
127.0.0.1 - - [31/Jan/2013:10:32:49 +0100] "GET /js/angular.min.js HTTP/1.1" 200 79014
127.0.0.1 - - [31/Jan/2013:10:32:49 +0100] "GET /js/app.js HTTP/1.1" 200 383
127.0.0.1 - - [31/Jan/2013:10:32:49 +0100] "GET /rest/games/games.json HTTP/1.1" 404 219
127.0.0.1 - - [31/Jan/2013:10:32:49 +0100] "GET /partials/game-list.html HTTP/1.1" 200 761
127.0.0.1 - - [31/Jan/2013:10:32:50 +0100] "GET /rest/games/games.json HTTP/1.1" 404 219
127.0.0.1 - - [31/Jan/2013:10:32:50 +0100] "GET /rest/games/games.json HTTP/1.1" 404 219
127.0.0.1 - - [31/Jan/2013:10:32:50 +0100] "GET /favicon.ico HTTP/1.1" 404 209
127.0.0.1 - - [31/Jan/2013:10:34:03 +0100] "GET /index.html HTTP/1.1" 304 -
127.0.0.1 - - [31/Jan/2013:10:34:03 +0100] "GET /rest/games/games.json HTTP/1.1" 404 219
127.0.0.1 - - [31/Jan/2013:10:34:03 +0100] "GET /rest/games/games.json HTTP/1.1" 404 219
127.0.0.1 - - [31/Jan/2013:10:34:03 +0100] "GET /rest/games/games.json HTTP/1.1" 404 219
127.0.0.1 - - [31/Jan/2013:10:34:03 +0100] "GET /favicon.ico HTTP/1.1" 404 209
127.0.0.1 - - [31/Jan/2013:10:34:08 +0100] "GET /index.html HTTP/1.1" 304 -
127.0.0.1 - - [31/Jan/2013:10:34:08 +0100] "GET /rest/games/games.json HTTP/1.1" 404 219
127.0.0.1 - - [31/Jan/2013:10:34:08 +0100] "GET /rest/games/games.json HTTP/1.1" 404 219
127.0.0.1 - - [31/Jan/2013:10:34:08 +0100] "GET /rest/games/games.json HTTP/1.1" 404 219
127.0.0.1 - - [31/Jan/2013:10:34:08 +0100] "GET /favicon.ico HTTP/1.1" 404 209
127.0.0.1 - - [31/Jan/2013:10:34:17 +0100] "GET / HTTP/1.1" 200 1243
127.0.0.1 - - [31/Jan/2013:10:34:17 +0100] "GET /rest/games/games.json HTTP/1.1" 404 219
127.0.0.1 - - [31/Jan/2013:10:34:17 +0100] "GET /rest/games/games.json HTTP/1.1" 404 219
127.0.0.1 - - [31/Jan/2013:10:34:17 +0100] "GET /rest/games/games.json HTTP/1.1" 404 219
127.0.0.1 - - [31/Jan/2013:10:34:17 +0100] "GET /favicon.ico HTTP/1.1" 404 209
127.0.0.1 - - [31/Jan/2013:10:40:51 +0100] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [31/Jan/2013:10:40:51 +0100] "GET /css/screen.css HTTP/1.1" 304 -
127.0.0.1 - - [31/Jan/2013:10:40:51 +0100] "GET /js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [31/Jan/2013:10:40:51 +0100] "GET /js/angular.min.js HTTP/1.1" 304 -
127.0.0.1 - - [31/Jan/2013:10:40:51 +0100] "GET /js/controllers.js HTTP/1.1" 304 -
127.0.0.1 - - [31/Jan/2013:10:40:51 +0100] "GET /css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [31/Jan/2013:10:40:51 +0100] "GET /js/bootstrap-modal.js HTTP/1.1" 304 -
127.0.0.1 - - [31/Jan/2013:10:40:51 +0100] "GET /rest/games/games.json HTTP/1.1" 404 219
127.0.0.1 - - [31/Jan/2013:10:40:51 +0100] "GET /rest/games/games.json HTTP/1.1" 404 219
127.0.0.1 - - [31/Jan/2013:10:40:51 +0100] "GET /rest/games/games.json HTTP/1.1" 404 219
127.0.0.1 - - [31/Jan/2013:10:40:52 +0100] "GET /favicon.ico HTTP/1.1" 404 209
127.0.0.1 - - [31/Jan/2013:10:41:01 +0100] "GET / HTTP/1.1" 200 1243
127.0.0.1 - - [31/Jan/2013:10:41:01 +0100] "GET /css/screen.css HTTP/1.1" 200 38
127.0.0.1 - - [31/Jan/2013:10:41:01 +0100] "GET /js/bootstrap-modal.js HTTP/1.1" 200 6579
127.0.0.1 - - [31/Jan/2013:10:41:01 +0100] "GET /js/controllers.js HTTP/1.1" 200 406
127.0.0.1 - - [31/Jan/2013:10:41:01 +0100] "GET /css/bootstrap.min.css HTTP/1.1" 200 103314
127.0.0.1 - - [31/Jan/2013:10:41:01 +0100] "GET /js/app.js HTTP/1.1" 200 383
127.0.0.1 - - [31/Jan/2013:10:41:01 +0100] "GET /js/angular.min.js HTTP/1.1" 200 79014
127.0.0.1 - - [31/Jan/2013:10:41:01 +0100] "GET /js/bootstrap.min.js HTTP/1.1" 200 31596
127.0.0.1 - - [31/Jan/2013:10:41:01 +0100] "GET /rest/games/games.json HTTP/1.1" 404 219
127.0.0.1 - - [31/Jan/2013:10:41:01 +0100] "GET /partials/game-list.html HTTP/1.1" 200 761
127.0.0.1 - - [31/Jan/2013:10:41:01 +0100] "GET /rest/games/games.json HTTP/1.1" 404 219
127.0.0.1 - - [31/Jan/2013:10:41:01 +0100] "GET /rest/games/games.json HTTP/1.1" 404 219
127.0.0.1 - - [31/Jan/2013:10:41:01 +0100] "GET /favicon.ico HTTP/1.1" 404 209
127.0.0.1 - - [31/Jan/2013:10:43:19 +0100] "GET / HTTP/1.1" 200 1243
127.0.0.1 - - [31/Jan/2013:10:43:19 +0100] "GET /css/screen.css HTTP/1.1" 200 38
127.0.0.1 - - [31/Jan/2013:10:43:19 +0100] "GET /js/bootstrap.min.js HTTP/1.1" 200 31596
127.0.0.1 - - [31/Jan/2013:10:43:19 +0100] "GET /js/bootstrap-modal.js HTTP/1.1" 200 6579
127.0.0.1 - - [31/Jan/2013:10:43:19 +0100] "GET /js/controllers.js HTTP/1.1" 200 406
127.0.0.1 - - [31/Jan/2013:10:43:19 +0100] "GET /js/app.js HTTP/1.1" 200 383
127.0.0.1 - - [31/Jan/2013:10:43:19 +0100] "GET /css/bootstrap.min.css HTTP/1.1" 200 103314
127.0.0.1 - - [31/Jan/2013:10:43:19 +0100] "GET /js/angular.min.js HTTP/1.1" 200 79014
